<TICKER>        <NAME>
A.US            AGILENT TECHNOLOGIES
AA.US           ALCOA
AAC-U.US        ARES ACQUISITION
AAC-WS.US       ARES ACQUISITION
AAC.US          ARES ACQUISITION
AACT-U.US       ARES ACQUISITION II
AACT-WS.US      Ares Acquisition Corp
AACT.US         ARES ACQUISITION II
AAIC.US         ARLINGTON ASSET INVESTMENT
AAIC_B.US       Arlington Asset Investment Cor
AAIC_C.US       Arlington Asset Investment Cor
AAIN.US         Arlington Asset Investment Cor
AAM_A.US        Apollo Asset Management
AAM_B.US        Apollo Asset Management
AAN.US          AARON'S
AAP.US          ADVANCE AUTO PARTS
AAT.US          AMERICAN ASSETS TRUST
AB.US           ALLIANCEBERNSTEIN HOLDING
ABBNY.US        ABB
ABBV.US         ABBVIE
ABC.US          AMERISOURCEBERGEN
ABEV.US         AMBEV
ABG.US          ASBURY AUTOMOTIVE GROUP
ABM.US          ABM INDUSTRIES
ABR.US          ARBOR REALTY TRUST
ABR_D.US        Arbor Realty Trust
ABR_E.US        Arbor Realty Trust
ABR_F.US        Arbor Realty Trust
ABT.US          ABBOTT LABORATORIES
AC.US           ASSOCIATED CAPITAL GROUP
ACA.US          ARCOSA
ACCO.US         ACCO BRANDS
ACEL.US         ACCEL ENTERTAINMENT
ACHR-WS.US      ARCHER AVIATION
ACHR.US         ARCHER AVIATION
ACI.US          ALBERTSONS COS
ACM.US          AECOM
ACN.US          ACCENTURE
ACP.US          ABRDN INCOME CREDIT STRATEGIES
ACP_A.US        abrdn Income Credit Strategies
ACR.US          ACRES COMMERCIAL REALTY
ACRE.US         ARES COMMERCIAL REAL ESTATE
ACRO-U.US       ACROPOLIS INFRASTRUCTURE ACQUISITION
ACRO-WS.US      ACROPOLIS INFRASTRUCTURE ACQUISITION
ACRO.US         ACROPOLIS INFRASTRUCTURE ACQUISITION
ACR_C.US        ACRES Commercial Realty Corp
ACR_D.US        ACRES Commercial Realty Corp
ACV.US          VIRTUS DIVERSIFIED INCOME
ADC.US          AGREE REALTY
ADCT.US         ADC THERAPEUTICS
ADC_A.US        Agree Realty Corp
ADM.US          ARCHER-DANIELS-MIDLAND
ADNT.US         ADIENT
ADPV.US         ADAPTIV SELECT ETF
ADT.US          ADT
ADX.US          ADAMS DIVERSIFIED EQUITY FUND
AEE.US          AMEREN
AEFC.US         Aegon Funding Company LLC
AEG.US          AEGON
AEL.US          AMERICAN EQUITY INVESTMENT LIFE HOLDING
AEL_A.US        American Equity Investment Lif
AEL_B.US        American Equity Investment Lif
AEM.US          AGNICO EAGLE MINES
AENZ.US         AENZA SAA
AEO.US          AMERICAN EAGLE OUTFITTERS
AER.US          AERCAP HOLDINGS
AES.US          AES
AESC.US         AES Corp
AESI.US         ATLAS ENERGY SOLUTIONS
AEVA-WS.US      AEVA TECHNOLOGIES
AEVA.US         AEVA TECHNOLOGIES
AFB.US          ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND
AFG.US          AMERICAN FINANCIAL GROUP INC/OH
AFGB.US         American Financial Group
AFGC.US         American Financial Group
AFGD.US         American Financial Group
AFGE.US         American Financial Group
AFL.US          AFLAC
AFT.US          APOLLO SENIOR FLOATING RATE FUND
AFTR-U.US       AFTERNEXT HEALTHTECH ACQUISITION
AFTR-WS.US      AFTERNEXT HEALTHTECH ACQUISITION
AFTR.US         AFTERNEXT HEALTHTECH ACQUISITION
AG.US           FIRST MAJESTIC SILVER
AGAC.US         AFRICAN GOLD ACQUISITION
AGCO.US         AGCO
AGI.US          ALAMOS GOLD
AGIH.US         ISHARES INFLATION HEDGED US AGGREGATE BOND ETF
AGL.US          AGILON HEALTH
AGM-A.US        FEDERAL AGRICULTURAL MORTGAGE
AGM.US          FEDERAL AGRICULTURAL MORTGAGE
AGM_C.US        Federal Agricultural Mortgage 
AGM_D.US        Federal Agricultural Mortgage 
AGM_E.US        Federal Agricultural Mortgage 
AGM_F.US        Federal Agricultural Mortgage 
AGM_G.US        Federal Agricultural Mortgage 
AGO.US          ASSURED GUARANTY
AGR.US          AVANGRID
AGRH.US         ISHARES INTEREST RATE HEDGED US AGGREGATE BOND ETF
AGRO.US         ADECOAGRO
AGS.US          PLAYAGS
AGTI.US         AGILITI
AGX.US          ARGAN
AHH.US          ARMADA HOFFLER PROPERTIES
AHH_A.US        Armada Hoffler Properties
AHL_C.US        Aspen Insurance Holdings Limit
AHL_D.US        Aspen Insurance Holdings Limit
AHL_E.US        Aspen Insurance Holdings Limit
AHOY.US         NEWDAY OCEAN HEALTH ETF
AHT.US          ASHFORD HOSPITALITY TRUST
AHT_D.US        Ashford Hospitality Trust
AHT_F.US        Ashford Hospitality Trust
AHT_G.US        Ashford Hospitality Trust
AHT_H.US        Ashford Hospitality Trust
AHT_I.US        Ashford Hospitality Trust
AI.US           C3.AI
AIC.US          Arlington Asset Investment Cor
AIDB.US         QRAFT AI-PILOT US LARGE CAP DYNAMIC BETA ETF
AIF.US          APOLLO TACTICAL INCOME FUND
AIG.US          AMERICAN INT GROUP
AIG_A.US        American International Group
AIN.US          ALBANY INT
AIO.US          VIRTUS ARTIFICIAL INTELLIGENCE & TECHNOLOGY OPPORTUNITIES FUND
AIR.US          AAR
AIRC.US         APARTMENT INCOME REIT
AIT.US          APPLIED INDUSTRIAL TECHNOLOGIES
AIU.US          META DATA
AIV.US          APARTMENT INVESTMENT AND MANAGEMENT
AIZ.US          ASSURANT
AIZN.US         Assurant
AJG.US          ARTHUR J GALLAGHER
AJRD.US         AEROJET ROCKETDYNE HOLDINGS
AJX.US          GREAT AJAX
